vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,CRD,4.5,0.5,0.5,1.1,0,6.6
CMT,CRD,5.5,0.5,0.5,1.3,0,7.8
CMT,CRD,6.5,0.5,0.5,1.5,0,9
VTS,CRD,7,1,0.5,1.6,0,10.1
VTS,CRD,7,1,0.5,1,0,9.5
VTS,CRD,14,1,0.5,1.1,0,16.6
VTS,CRD,5.5,1,0.5,1,0,8
CMT,CRD,7.5,0,0.5,1.5,0,9.5
CMT,CRD,15,0.5,0.5,2,0,18
VTS,CRD,9,1,0.5,1.2,0,11.7
CMT,CRD,6.5,0,0.5,2.1,0,9.1
CMT,CRD,21,1,0.5,4,0,26.5
VTS,CSH,9.5,1,0.5,0,0,11
CMT,CRD,12.5,0,0.5,2,0,15
VTS,CRD,18,0.5,0.5,3.8,0,22.8
CMT,CRD,12,0,0.5,3.1,0,15.6
CMT,CRD,6,0,0.5,2.5,0,9
CMT,CRD,6.5,0.5,0.5,1.5,0,9
VTS,CSH,20.5,1,0.5,0,0,22
CMT,CRD,7,1,0.5,1.5,0,10
VTS,CSH,5,0.5,0.5,0,0,6
VTS,CRD,14,0.5,0.5,2.9,0,17.9
